anzsco_code,occupation_name,weekly_cash_earnings_males_raw,weekly_cash_earnings_females_raw,weekly_cash_earnings_persons_raw,average_age_males_raw,average_age_females_raw,average_age_persons_raw,currency,earnings_period,reference_period,source,source_table,source_file
1111,Chief executives and managing directors,2775.6,3569.7,2962.8,51.0,50.0,50.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1112,General managers,3597.7,3267.4,3476.7,50.1,46.8,48.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1113,Legislators,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1211,Aquaculture farmers,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1213,Livestock farmers,2249.8,,2249.8,37.9,,37.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1215,Broadacre crop growers,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1216,Horticultural crop growers,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1217,Mixed production farmers,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1311,"Advertising, public relations and sales managers",3086.3,2935.2,3033.6,46.3,44.8,45.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1321,Corporate services managers,3561.4,2755.8,3263.0,46.1,47.0,46.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1322,Finance managers,3640.1,2718.9,3155.3,46.8,46.6,46.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1323,Human resource managers,3125.9,2925.9,2995.7,46.8,48.8,48.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1324,Policy and planning managers,3528.2,3110.1,3302.3,46.1,45.5,45.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1325,Research and development managers,3188.1,3099.4,3133.3,48.8,44.7,46.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1331,Construction managers,2940.7,2118.4,2837.7,45.0,46.1,45.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1332,Engineering managers,3960.9,3817.9,3938.8,47.8,46.7,47.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1333,"Importers, exporters and wholesalers",,,1903.4,,,47.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1334,Manufacturers,2283.7,1499.3,2124.4,54.9,56.2,55.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1335,Production managers,2866.6,2549.8,2817.8,46.8,43.5,46.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1336,"Supply, distribution and procurement managers",3044.5,2611.5,2915.3,49.9,42.2,47.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1341,Child care centre managers,,,1650.3,,,39.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1342,Health and welfare services managers,2943.8,2611.8,2720.9,40.9,47.5,45.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1343,School principals,3253.3,2832.2,2939.8,54.1,47.8,49.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1344,Other education managers,3016.5,2696.3,2822.8,46.2,46.7,46.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1351,ICT managers,3566.6,3600.5,3573.4,46.0,41.5,45.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1391,Commissioned officers (management),3989.7,3604.8,3872.8,50.1,48.5,49.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1392,Senior non-commissioned defence force members,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1399,Other specialist managers,3258.7,2897.9,3105.7,47.7,43.7,46.0,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1411,Cafe and restaurant managers,1502.4,1474.7,1492.1,39.4,40.1,39.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1412,Caravan park and camping ground managers,1549.1,1468.2,1499.8,38.7,50.6,46.0,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1413,Hotel and motel managers,1724.7,1752.3,1744.3,40.9,40.5,40.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1414,Licensed club managers,1790.7,1693.4,1729.2,30.2,32.3,31.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1419,Other accommodation and hospitality managers,1849.5,2234.0,2084.4,44.6,52.2,49.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1421,Retail managers,1681.8,1538.4,1614.2,43.2,42.7,43.0,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1491,"Amusement, fitness and sports centre managers",1503.2,1468.7,1490.5,39.0,46.1,41.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1492,Call or contact centre and customer service managers,2751.4,2215.2,2483.5,46.4,44.7,45.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1493,Conference and event organisers,1605.6,1536.3,1547.1,39.8,39.8,39.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1494,Transport services managers,2209.3,2774.5,2358.4,50.9,42.4,48.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
1499,"Other hospitality, retail and service managers",2394.0,2396.0,2394.7,49.0,43.0,46.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2111,"Actors, dancers and other entertainers",1148.7,440.1,763.5,40.2,23.5,31.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2112,Music professionals,971.5,1195.5,1048.5,47.0,30.8,41.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2113,Photographers,1519.4,2171.4,1734.7,43.4,38.6,41.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2114,Visual arts and crafts professionals,,,1676.9,,,42.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2121,"Artistic directors, and media producers and presenters",2054.9,1947.0,1999.2,42.9,41.7,42.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2122,"Authors, and book and script editors",,,1415.4,,,47.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2123,"Film, television, radio and stage directors",2023.6,2009.3,2017.1,43.3,39.9,41.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2124,Journalists and other writers,1894.2,1717.9,1794.2,43.3,41.9,42.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2211,Accountants,1944.7,1754.1,1829.3,41.2,41.6,41.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2212,"Auditors, company secretaries and corporate treasurers",2437.2,2109.4,2258.5,39.3,40.4,39.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2221,Financial brokers,1901.6,1904.5,1902.6,43.6,44.7,44.0,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2222,Financial dealers,2597.4,2740.0,2668.1,43.9,40.2,42.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2223,Financial investment advisers and managers,2463.4,2310.6,2402.6,42.9,42.5,42.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2231,Human resource professionals,1754.7,1941.0,1895.6,38.7,39.1,39.0,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2233,Training and development professionals,2287.4,1713.3,1991.5,47.6,43.0,45.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2241,Mathematical science professionals,2216.9,2127.7,2186.0,37.3,42.5,39.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2242,"Archivists, curators and records managers",2334.3,1673.9,1845.5,43.8,45.8,45.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2243,Economists,,,2314.6,,,33.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2244,Intelligence and policy analysts,2319.9,2071.3,2185.3,41.9,39.7,40.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2245,Land economists and valuers,2605.0,2500.1,2562.2,36.7,45.1,40.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2246,Librarians,,,1811.3,,,46.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2247,Management and organisation analysts,2558.8,2237.3,2397.9,43.2,41.3,42.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2249,Other information and organisation professionals,2461.0,1883.0,2217.6,45.5,42.1,44.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2251,Advertising and marketing professionals,2306.6,1824.1,2002.7,40.7,36.7,38.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2252,ICT sales professionals,2391.0,2187.4,2324.8,39.1,40.9,39.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2253,Public relations professionals,1917.7,1991.9,1970.3,36.6,43.1,41.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2254,Technical sales representatives,2570.2,2734.6,2616.2,43.2,49.0,44.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2311,Air transport professionals,3172.7,1588.6,3023.9,41.0,35.2,40.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
2312,Marine transport professionals,3029.9,970.0,2338.5,53.7,29.9,45.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
