"title","company","location_label","tenure_label","salary_min","salary_max","occupation_label","description","search_term","source","creationdate","worktypecode","salary_period","salary_min1","salary_max1","title_clean","description_clean","description_tsv","keywords","address_short","state_abbr","city"
Data Analyst - Informatics and Insights Unit,Mackay Hospital and Health Service,"Erakala, Mackay",permanent,,,IT Jobs,"Mackay Hospital and Health Service is dedicated to delivering quality health care across the Mackay, Isaac, and Whitsunday regions. Join our growing Health Service and be part of a culture built on collaboration, trust, respect, and teamwork. Whether you’re working in regional, rural, or remote settings, we offer unique opportunities and experiences you won’t find in a metropolitan hospital. Role details The Informatics and Insights Unit at the Mackay Base Hospital is seeking applications for a…",data analyst,Adzuna API,2026-07-10 15:58:59.000 +0700,full_time,,,,Data Analyst,"Mackay Hospital and Health Service is dedicated to delivering quality health care across the Mackay, Isaac, and Whitsunday regions. Join our growing Health Service and be part of a culture built on collaboration, trust, respect, and teamwork. Whether you’re working in regional, rural, or remote settings, we offer unique opportunities and experiences you won’t find in a metropolitan hospital. Role details The Informatics and Insights Unit at the Mackay Base Hospital is seeking applications for a…","'across':13 'applic':74 'a…':76 'base':70 'built':31 'care':12 'collabor':33 'cultur':30 'dedic':7 'deliv':9 'detail':61 'experi':52 'find':55 'grow':22 'health':4,11,23 'hospit':2,59,71 'informat':63 'insight':65 'isaac':16 'join':20 'mackay':1,15,69 'metropolitan':58 'offer':48 'opportun':50 'part':27 'qualiti':10 'region':19,42 'remot':45 'respect':35 'role':60 'rural':43 'seek':73 'servic':5,24 'set':46 'teamwork':37 'trust':34 'uniqu':49 'unit':66 'whether':38 'whitsunday':18 'won’t':54 'work':40 'you’r':39","{across,applic,a…,base,built,care,collabor,cultur,dedic,deliv,detail,experi,find,grow,health,hospit,informat,insight,isaac,join,mackay,metropolitan,offer,opportun,part,qualiti,region,remot,respect,role,rural,seek,servic,set,teamwork,trust,uniqu,unit,whether,whitsunday,won’t,work,you’r}",,,Erakala
Data Analyst (709625),Tasmanian Government Jobs,"Tasmania, Australia",not_specified,,,Admin Jobs,"About the role The purpose of the role is to apply data analysis techniques, tools, and methods to extract insights from datasets and support informed decision-making. The role liaises with stakeholders to understand data needs and improve reporting and data-driven processes. The position provides data management, reporting, and analytical support to functional areas within Marine Resources, focusing on interpreting data, producing regular outputs, and ensuring data quality and consistency. Hou…",data analyst,Adzuna API,2026-07-16 18:54:20.000 +0700,not specified,,,,Data Analyst,"About the role The purpose of the role is to apply data analysis techniques, tools, and methods to extract insights from datasets and support informed decision-making. The role liaises with stakeholders to understand data needs and improve reporting and data-driven processes. The position provides data management, reporting, and analytical support to functional areas within Marine Resources, focusing on interpreting data, producing regular outputs, and ensuring data quality and consistency. Hou…","'analysi':13 'analyt':53 'appli':11 'area':57 'consist':73 'data':12,36,43,49,64,70 'data-driven':42 'dataset':22 'decis':27 'decision-mak':26 'driven':44 'ensur':69 'extract':19 'focus':61 'function':56 'hou…':74 'improv':39 'inform':25 'insight':20 'interpret':63 'liais':31 'make':28 'manag':50 'marin':59 'method':17 'need':37 'output':67 'posit':47 'process':45 'produc':65 'provid':48 'purpos':5 'qualiti':71 'regular':66 'report':40,51 'resourc':60 'role':3,8,30 'stakehold':33 'support':24,54 'techniqu':14 'tool':15 'understand':35 'within':58","{analysi,analyt,appli,area,consist,data,data-driven,dataset,decis,decision-mak,driven,ensur,extract,focus,function,hou…,improv,inform,insight,interpret,liais,make,manag,marin,method,need,output,posit,process,produc,provid,purpos,qualiti,regular,report,resourc,role,stakehold,support,techniqu,tool,understand,within}",,,Tasmania
Data Analyst - Informatics and Insights Unit,Queensland Health,"Erakala, Mackay",permanent,,,Healthcare & Nursing Jobs,"Mackay Hospital and Health Service is dedicated to delivering quality health care across the Mackay, Isaac, and Whitsunday regions. Join our growing Health Service and be part of a culture built on collaboration, trust, respect, and teamwork. Whether you’re working in regional, rural, or remote settings, we offer unique opportunities and experiences you won’t find in a metropolitan hospital. Role details The Informatics and Insights Unit at the Mackay Base Hospital is seeking applications for a…",data analyst,Adzuna API,2026-07-10 15:58:50.000 +0700,part_time,,,,Data Analyst,"Mackay Hospital and Health Service is dedicated to delivering quality health care across the Mackay, Isaac, and Whitsunday regions. Join our growing Health Service and be part of a culture built on collaboration, trust, respect, and teamwork. Whether you’re working in regional, rural, or remote settings, we offer unique opportunities and experiences you won’t find in a metropolitan hospital. Role details The Informatics and Insights Unit at the Mackay Base Hospital is seeking applications for a…","'across':13 'applic':74 'a…':76 'base':70 'built':31 'care':12 'collabor':33 'cultur':30 'dedic':7 'deliv':9 'detail':61 'experi':52 'find':55 'grow':22 'health':4,11,23 'hospit':2,59,71 'informat':63 'insight':65 'isaac':16 'join':20 'mackay':1,15,69 'metropolitan':58 'offer':48 'opportun':50 'part':27 'qualiti':10 'region':19,42 'remot':45 'respect':35 'role':60 'rural':43 'seek':73 'servic':5,24 'set':46 'teamwork':37 'trust':34 'uniqu':49 'unit':66 'whether':38 'whitsunday':18 'won’t':54 'work':40 'you’r':39","{across,applic,a…,base,built,care,collabor,cultur,dedic,deliv,detail,experi,find,grow,health,hospit,informat,insight,isaac,join,mackay,metropolitan,offer,opportun,part,qualiti,region,remot,respect,role,rural,seek,servic,set,teamwork,trust,uniqu,unit,whether,whitsunday,won’t,work,you’r}",,,Erakala
Data Analyst HYBRID — SYDNEY / MELBOURNE / BRISBANE,Mable,"Brisbane CBD, Brisbane",not_specified,,,IT Jobs,"HomeMade, Mable, Leap in! and Mable Direct are entities under the Attain Healthtech Group of companies. While our companies are diverse, three similarities bind us: 1. We exist to create lasting, positive change across the entire care and support sector - impacting more lives, elevating standards and shaping the future of care 2. We believe in technology as an enabler 3. We’re driven by helping customers attain better outcomes This position is part of the Mable team. About Mable Mable is one of…",data analyst,Adzuna API,2026-07-14 17:01:35.000 +0700,full_time,,,,Data Analyst,"HomeMade, Mable, Leap in! and Mable Direct are entities under the Attain Healthtech Group of companies. While our companies are diverse, three similarities bind us: 1. We exist to create lasting, positive change across the entire care and support sector - impacting more lives, elevating standards and shaping the future of care 2. We believe in technology as an enabler 3. We’re driven by helping customers attain better outcomes This position is part of the Mable team. About Mable Mable is one of…","'1':26 '2':52 '3':60 'across':34 'attain':12,66 'believ':54 'better':67 'bind':24 'care':37,51 'chang':33 'compani':16,19 'creat':30 'custom':65 'direct':7 'divers':21 'driven':62 'elev':44 'enabl':59 'entir':36 'entiti':9 'exist':28 'futur':49 'group':14 'healthtech':13 'help':64 'homemad':1 'impact':41 'last':31 'leap':3 'live':43 'mabl':2,6,75,78,79 'of…':82 'one':81 'outcom':68 'part':72 'posit':32,70 'sector':40 'shape':47 'similar':23 'standard':45 'support':39 'team':76 'technolog':56 'three':22 'us':25 'we’r':61","{1,2,3,across,attain,believ,better,bind,care,chang,compani,creat,custom,direct,divers,driven,elev,enabl,entir,entiti,exist,futur,group,healthtech,help,homemad,impact,last,leap,live,mabl,of…,one,outcom,part,posit,sector,shape,similar,standard,support,team,technolog,three,us,we’r}","Brisbane, QLD",QLD,Brisbane
Senior Data Analyst,Ubank,"The Rocks, Sydney",permanent,,,IT Jobs,"At Ubank, we empower the digital generation to achieve financial success. Think of us as your daily money companion, offering a unified view of your finances with smart features and real-time insights. Save more, track spending, and achieve home ownership faster with Ubank. The Why: In this role, you bring deep expertise in domain-specific analytics, such as understanding the profile of digitally engaged customers or identifying high‑value audiences for targeted campaigns. You are skilled in Po…",data analyst,Adzuna API,2026-03-02 21:47:37.000 +0700,full_time,,,,Senior Data Analyst,"At Ubank, we empower the digital generation to achieve financial success. Think of us as your daily money companion, offering a unified view of your finances with smart features and real-time insights. Save more, track spending, and achieve home ownership faster with Ubank. The Why: In this role, you bring deep expertise in domain-specific analytics, such as understanding the profile of digitally engaged customers or identifying high‑value audiences for targeted campaigns. You are skilled in Po…","'achiev':9,40 'analyt':59 'audienc':72 'bring':52 'campaign':75 'companion':19 'custom':68 'daili':17 'deep':53 'digit':6,66 'domain':57 'domain-specif':56 'empow':4 'engag':67 'expertis':54 'faster':43 'featur':29 'financ':26 'financi':10 'generat':7 'high‑valu':71 'home':41 'identifi':70 'insight':34 'money':18 'offer':20 'ownership':42 'po…':80 'profil':64 'real':32 'real-tim':31 'role':50 'save':35 'skill':78 'smart':28 'specif':58 'spend':38 'success':11 'target':74 'think':12 'time':33 'track':37 'ubank':2,45 'understand':62 'unifi':22 'us':14 'view':23","{achiev,analyt,audienc,bring,campaign,companion,custom,daili,deep,digit,domain,domain-specif,empow,engag,expertis,faster,featur,financ,financi,generat,high‑valu,home,identifi,insight,money,offer,ownership,po…,profil,real,real-tim,role,save,skill,smart,specif,spend,success,target,think,time,track,ubank,understand,unifi,us,view}","Sydney, NSW",NSW,Sydney
"Associate Managing Consultant, Advisors & Consulting Services, Performance Analytics (12 Months)",Mastercard,"St Leonards, Willoughby Area",not_specified,,,Consultancy Jobs,"Our Purpose _Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest po…",analytics consultant,Adzuna API,2026-06-06 19:33:46.000 +0700,not specified,,,,"Associate Managing Consultant, Advisors","Our Purpose _Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest po…","'200':10 'access':45 'build':22 'busi':66 'choic':38 'combin':53 'countri':11 'custom':18 'deliv':55 'digit':36 'economi':5,25 'empow':7 'everyon':27 'govern':68 'greatest':71 'help':21,64 'innov':49 'make':39 'mastercard':3 'network':52 'partnership':50 'payment':37 'peopl':8,65 'power':4 'po…':72 'product':60 'prosper':29 'purpos':2 'rang':34 're':20 'realiz':69 'secur':41 'servic':62 'set':58 'simpl':42 'smart':43 'support':31 'sustain':24 'technolog':47 'territori':13 'togeth':15 'transact':40 'uniqu':57 'wide':33 'worldwid':14","{200,access,build,busi,choic,combin,countri,custom,deliv,digit,economi,empow,everyon,govern,greatest,help,innov,make,mastercard,network,partnership,payment,peopl,power,po…,product,prosper,purpos,rang,re,realiz,secur,servic,set,simpl,smart,support,sustain,technolog,territori,togeth,transact,uniqu,wide,worldwid}",,,St Leonards
DTC Data Analyst,Levi Strauss,"South Melbourne, Port Phillip",not_specified,,,IT Jobs,"As our DTC Data Analyst, you’ll play a critical role in supporting commercial and operational performance through clear, actionable data insights . You’ll work closely with the DTC Operations Manager and partners across Finance, Marketing, and Planning to drive a more data-informed culture across the business. What You’ll Own Insights & Performance Deliver reporting across key DTC metrics including sales, labour , productivity, conversion, and customer experience Analyse trends to identify risk…",data analyst,Adzuna API,2026-06-21 17:48:49.000 +0700,full_time,,,,DTC Data Analyst,"As our DTC Data Analyst, you’ll play a critical role in supporting commercial and operational performance through clear, actionable data insights . You’ll work closely with the DTC Operations Manager and partners across Finance, Marketing, and Planning to drive a more data-informed culture across the business. What You’ll Own Insights & Performance Deliver reporting across key DTC metrics including sales, labour , productivity, conversion, and customer experience Analyse trends to identify risk…","'across':32,45,55 'action':19 'analys':67 'analyst':5 'busi':47 'clear':18 'close':24 'commerci':13 'convers':63 'critic':9 'cultur':44 'custom':65 'data':4,20,42 'data-inform':41 'deliv':53 'drive':38 'dtc':3,27,57 'experi':66 'financ':33 'identifi':70 'includ':59 'inform':43 'insight':21,51 'key':56 'labour':61 'manag':29 'market':34 'metric':58 'oper':15,28 'partner':31 'perform':16,52 'plan':36 'play':7 'product':62 'report':54 'risk…':71 'role':10 'sale':60 'support':12 'trend':68 'work':23 'you’ll':6,22,49","{across,action,analys,analyst,busi,clear,close,commerci,convers,critic,cultur,custom,data,data-inform,deliv,drive,dtc,experi,financ,identifi,includ,inform,insight,key,labour,manag,market,metric,oper,partner,perform,plan,play,product,report,risk…,role,sale,support,trend,work,you’ll}","Melbourne, VIC",VIC,Melbourne
Support System Source Data Analyst,BAE Systems,"North Ward, Townsville",permanent,,,IT Jobs,"SUPPORT SYSTEMS SOURCE DATA ANALYST Job Location: Osborne, SA/ Melbourne , Vic/ Henderson, WA – We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Who We Are Join BAE Systems and you’ll be part of something bigger. As a valued member of our global colleague network, you’ll bring your unique skills and perspectives to help pioneer progress and protect what matters most. You’ll be trusted to play your part in d…",data analyst,Adzuna API,2026-07-09 13:57:07.000 +0700,full_time,,,,Support System Source Data Analyst,"SUPPORT SYSTEMS SOURCE DATA ANALYST Job Location: Osborne, SA/ Melbourne , Vic/ Henderson, WA – We offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role. Who We Are Join BAE Systems and you’ll be part of something bigger. As a valued member of our global colleague network, you’ll bring your unique skills and perspectives to help pioneer progress and protect what matters most. You’ll be trusted to play your part in d…","'analyst':5 'arrang':24 'bae':42 'bigger':50 'bring':61 'colleagu':58 'data':4 'd…':84 'flexibl':22 'global':57 'help':68 'henderson':12 'hybrid':20 'job':6 'join':41 'locat':7 'matter':74 'melbourn':10 'member':54 'network':59 'offer':16 'option':33 'osborn':8 'part':47,82 'particular':36 'perspect':66 'pioneer':69 'play':80 'pleas':26 'progress':70 'protect':72 'rang':18 'recruit':30 'role':37 'sa':9 'skill':64 'someth':49 'sourc':3 'speak':27 'support':1 'system':2,43 'trust':78 'uniqu':63 'valu':53 'vic':11 'wa':13 'work':23 'you’ll':45,60,76 '–':14,25","{analyst,arrang,bae,bigger,bring,colleagu,data,d…,flexibl,global,help,henderson,hybrid,job,join,locat,matter,melbourn,member,network,offer,option,osborn,part,particular,perspect,pioneer,play,pleas,progress,protect,rang,recruit,role,sa,skill,someth,sourc,speak,support,system,trust,uniqu,valu,vic,wa,work,you’ll,–}",,,North Ward
Data Analyst HYBRID — SYDNEY / MELBOURNE / BRISBANE,Mable,"The Rocks, Sydney",not_specified,,,IT Jobs,"HomeMade, Mable, Leap in! and Mable Direct are entities under the Attain Healthtech Group of companies. While our companies are diverse, three similarities bind us: 1. We exist to create lasting, positive change across the entire care and support sector - impacting more lives, elevating standards and shaping the future of care 2. We believe in technology as an enabler 3. We’re driven by helping customers attain better outcomes This position is part of the Mable team. About Mable Mable is one of…",data analyst,Adzuna API,2026-07-14 17:01:35.000 +0700,full_time,,,,Data Analyst,"HomeMade, Mable, Leap in! and Mable Direct are entities under the Attain Healthtech Group of companies. While our companies are diverse, three similarities bind us: 1. We exist to create lasting, positive change across the entire care and support sector - impacting more lives, elevating standards and shaping the future of care 2. We believe in technology as an enabler 3. We’re driven by helping customers attain better outcomes This position is part of the Mable team. About Mable Mable is one of…","'1':26 '2':52 '3':60 'across':34 'attain':12,66 'believ':54 'better':67 'bind':24 'care':37,51 'chang':33 'compani':16,19 'creat':30 'custom':65 'direct':7 'divers':21 'driven':62 'elev':44 'enabl':59 'entir':36 'entiti':9 'exist':28 'futur':49 'group':14 'healthtech':13 'help':64 'homemad':1 'impact':41 'last':31 'leap':3 'live':43 'mabl':2,6,75,78,79 'of…':82 'one':81 'outcom':68 'part':72 'posit':32,70 'sector':40 'shape':47 'similar':23 'standard':45 'support':39 'team':76 'technolog':56 'three':22 'us':25 'we’r':61","{1,2,3,across,attain,believ,better,bind,care,chang,compani,creat,custom,direct,divers,driven,elev,enabl,entir,entiti,exist,futur,group,healthtech,help,homemad,impact,last,leap,live,mabl,of…,one,outcom,part,posit,sector,shape,similar,standard,support,team,technolog,three,us,we’r}","Sydney, NSW",NSW,Sydney
Senior Data Analyst (Markets Group),ASIC,Australia,permanent,,,IT Jobs,"At ASIC, you can be the change that ensures a fair, strong and efficient financial system for the benefit of all Australians. Contribute to delivering on ASIC's purpose, vision, and strategic priorities to help maintain the integrity of the financial system and protect consumers from harm. We are seeking an experienced Senior Data Analyst to provide specialist systems, data and technology services within ASIC's Markets Group. This role will suit a technically strong and collaborative analyst wh…",data analyst,Adzuna API,2026-07-21 16:11:21.000 +0700,full_time,,,,Senior Data Analyst,"At ASIC, you can be the change that ensures a fair, strong and efficient financial system for the benefit of all Australians. Contribute to delivering on ASIC's purpose, vision, and strategic priorities to help maintain the integrity of the financial system and protect consumers from harm. We are seeking an experienced Senior Data Analyst to provide specialist systems, data and technology services within ASIC's Markets Group. This role will suit a technically strong and collaborative analyst wh…","'analyst':55,78 'asic':2,27,65 'australian':22 'benefit':19 'chang':7 'collabor':77 'consum':45 'contribut':23 'data':54,60 'deliv':25 'effici':14 'ensur':9 'experienc':52 'fair':11 'financi':15,41 'group':68 'harm':47 'help':35 'integr':38 'maintain':36 'market':67 'prioriti':33 'protect':44 'provid':57 'purpos':29 'role':70 'seek':50 'senior':53 'servic':63 'specialist':58 'strateg':32 'strong':12,75 'suit':72 'system':16,42,59 'technic':74 'technolog':62 'vision':30 'wh…':79 'within':64","{analyst,asic,australian,benefit,chang,collabor,consum,contribut,data,deliv,effici,ensur,experienc,fair,financi,group,harm,help,integr,maintain,market,prioriti,protect,provid,purpos,role,seek,senior,servic,specialist,strateg,strong,suit,system,technic,technolog,vision,wh…,within}",,,Australia
