"title","company","salary_label","location_label","description","search_term","source","creationdate","worktypecode","title_clean","description_clean","description_words","description_tsv","keywords"
Marine Engineers (3rd OOW Engineers),DOF,"",Australia," DOF is hiring - 2nd/3rd Engineers (OOW Engineers)
 DOF is actively hiring experience as a 2nd/3rd Engineer (OOW Engineers) for casual opportunities on various vessels. As a Marine Engineer with DOF, you would be maintaining our world class fleet of vessels. Our Marine...",data analyst,swooped.co,2025-09-22 00:00:00.000 +0700,not_specified,Marine Engineers (3rd OOW Engineers),"DOF is hiring - 2nd/3rd Engineers (OOW Engineers) DOF is actively hiring experience as a 2nd/3rd Engineer (OOW Engineers) for casual opportunities on various vessels. As a Marine Engineer with DOF, you would be maintaining our world class fleet of vessels. Our Marine...",dof is hiring nd rd engineers oow engineers dof is actively hiring experience as a nd rd engineer oow engineers for casual opportunities on various vessels as a marine engineer with dof you would be maintaining our world class fleet of vessels our marine,"'2nd/3rd':4,15 'activ':10 'casual':20 'class':37 'dof':1,8,30 'engin':5,7,16,18,28 'experi':12 'fleet':38 'hire':3,11 'maintain':34 'marin':27,42 'oow':6,17 'opportun':21 'various':23 'vessel':24,40 'world':36 'would':32","{2nd/3rd,activ,casual,class,dof,engin,experi,fleet,hire,maintain,marin,oow,opportun,various,vessel,world,would}"
Scrum Master,Leidos,"",Australia,"&nbsp;...strategy, so flexibility will be required. 
 Your role in the team will be to work closely with the product development team and <b>customer </b>product owners to ensure work progress on schedule and to the desired level of quality. Additionally, you will serve as a coach and...&nbsp;",customer insights analyst,swooped.co,2025-09-05 00:00:00.000 +0700,not_specified,Scrum Master,"...strategy, so flexibility will be required. Your role in the team will be to work closely with the product development team and customer product owners to ensure work progress on schedule and to the desired level of quality. Additionally, you will serve as a coach and...",strategy so flexibility will be required your role in the team will be to work closely with the product development team and customer product owners to ensure work progress on schedule and to the desired level of quality additionally you will serve as a coach and,"'addit':39 'close':16 'coach':45 'custom':23 'desir':35 'develop':20 'ensur':27 'flexibl':3 'level':36 'owner':25 'product':19,24 'progress':29 'qualiti':38 'requir':6 'role':8 'schedul':31 'serv':42 'strategi':1 'team':11,21 'work':15,28","{addit,close,coach,custom,desir,develop,ensur,flexibl,level,owner,product,progress,qualiti,requir,role,schedul,serv,strategi,team,work}"
"Senior Analyst, Business Development (Identity & Security Specialist Sales)",Mastercard,"",Australia,"&nbsp;...governments realize their greatest potential.  Title and Summary  Senior <b>Analyst,</b> Business Development (Identity & Security Specialist Sales)...&nbsp;&nbsp;...transactions safe, simple, smart, and accessible. Using secure <b>data </b>and networks, partnerships and passion, our innovations and...&nbsp;",data analyst,decentrajobs.com,2026-06-05 03:50:40.853 +0700,full_time,Senior Analyst,"...governments realize their greatest potential. Title and Summary Senior Analyst, Business Development (Identity & Security Specialist Sales)... ...transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and...",governments realize their greatest potential title and summary senior analyst business development identity security specialist sales transactions safe simple smart and accessible using secure data and networks partnerships and passion our innovations and,"'access':22 'analyst':10 'busi':11 'data':25 'develop':12 'govern':1 'greatest':4 'ident':13 'innov':32 'network':27 'partnership':28 'passion':30 'potenti':5 'realiz':2 'safe':18 'sale':16 'secur':14,24 'senior':9 'simpl':19 'smart':20 'specialist':15 'summari':8 'titl':6 'transact':17 'use':23","{access,analyst,busi,data,develop,govern,greatest,ident,innov,network,partnership,passion,potenti,realiz,safe,sale,secur,senior,simpl,smart,specialist,summari,titl,transact,use}"
"Senior Analyst, Account Management",Mastercard,"",Australia,"&nbsp;...governments realize their greatest potential.  Title and Summary  Senior <b>Analyst,</b> Account Management 
 Overview 
 This role will drive sales...&nbsp;&nbsp;...skills and enjoy simplifying large amounts of complex <b>data </b>into C-Level presentations 
• Degree qualified in business studies...&nbsp;",data analyst,decentrajobs.com,2026-06-10 03:11:53.880 +0700,full_time,Senior Analyst,"...governments realize their greatest potential. Title and Summary Senior Analyst, Account Management Overview This role will drive sales... ...skills and enjoy simplifying large amounts of complex data into C-Level presentations • Degree qualified in business studies...",governments realize their greatest potential title and summary senior analyst account management overview this role will drive sales skills and enjoy simplifying large amounts of complex data into c level presentations degree qualified in business studies,'account':11 'amount':24 'analyst':10 'busi':37 'c':30 'c-level':29 'complex':26 'data':27 'degre':34 'drive':17 'enjoy':21 'govern':1 'greatest':4 'larg':23 'level':31 'manag':12 'overview':13 'potenti':5 'present':32 'qualifi':35 'realiz':2 'role':15 'sale':18 'senior':9 'simplifi':22 'skill':19 'studi':38 'summari':8 'titl':6 '•':33,"{account,amount,analyst,busi,c,c-level,complex,data,degre,drive,enjoy,govern,greatest,larg,level,manag,overview,potenti,present,qualifi,realiz,role,sale,senior,simplifi,skill,studi,summari,titl,•}"
SOC Analyst,Volexity,"",Australia,"&nbsp;...Volexity’s Security Operation Center (SOC) <b>Analysts </b>work to protect organizations from a wide variety of threats, ranging from commodity phishing and malware campaigns to highly targeted attacks involving zero-day exploits.  Candidates applying for this role should expect...&nbsp;",data analyst,hireskys.com,2026-07-25 02:49:37.647 +0700,full_time,SOC Analyst,"...Volexity’s Security Operation Center (SOC) Analysts work to protect organizations from a wide variety of threats, ranging from commodity phishing and malware campaigns to highly targeted attacks involving zero-day exploits. Candidates applying for this role should expect...",volexity s security operation center soc analysts work to protect organizations from a wide variety of threats ranging from commodity phishing and malware campaigns to highly targeted attacks involving zero day exploits candidates applying for this role should expect,'analyst':6 'appli':34 'attack':27 'campaign':23 'candid':33 'center':4 'commod':19 'day':31 'expect':39 'exploit':32 'high':25 'involv':28 'malwar':22 'oper':3 'organ':10 'phish':20 'protect':9 'rang':17 'role':37 'secur':2 'soc':5 'target':26 'threat':16 'varieti':14 'volexity’':1 'wide':13 'work':7 'zero':30 'zero-day':29,"{analyst,appli,attack,campaign,candid,center,commod,day,expect,exploit,high,involv,malwar,oper,organ,phish,protect,rang,role,secur,soc,target,threat,varieti,volexity’,wide,work,zero,zero-day}"
Macro Analyst,IMC,"",Australia,"&nbsp;...for three days or three years, the best idea wins. 
 Our Macro <b>Analyst </b>team plays a critical role in informing our trading strategies....&nbsp;&nbsp;...macroeconomic trends, and the dynamic interplay between economic <b>data,</b> policy decisions, and asset prices. Analysts thrive on researching...&nbsp;",data analyst,swooped.co,2025-10-02 00:00:00.000 +0700,not_specified,Macro Analyst,"...for three days or three years, the best idea wins. Our Macro Analyst team plays a critical role in informing our trading strategies.... ...macroeconomic trends, and the dynamic interplay between economic data, policy decisions, and asset prices. Analysts thrive on researching...",for three days or three years the best idea wins our macro analyst team plays a critical role in informing our trading strategies macroeconomic trends and the dynamic interplay between economic data policy decisions and asset prices analysts thrive on researching,"'analyst':13,38 'asset':36 'best':8 'critic':17 'data':32 'day':3 'decis':34 'dynam':28 'econom':31 'idea':9 'inform':20 'interplay':29 'macro':12 'macroeconom':24 'play':15 'polici':33 'price':37 'research':41 'role':18 'strategi':23 'team':14 'three':2,5 'thrive':39 'trade':22 'trend':25 'win':10 'year':6","{analyst,asset,best,critic,data,day,decis,dynam,econom,idea,inform,interplay,macro,macroeconom,play,polici,price,research,role,strategi,team,three,thrive,trade,trend,win,year}"
Technical Customer Support Specialist,ElevenLabs,"",Australia,"&nbsp;...connections, and the advanced ElevenAgents orchestration platform. Shifting completely away from routine non-regulated administrative <b>data </b>transcription loops, retail clerk checkouts, or generic call center response scripts, you will run an active multi-tenant API log...&nbsp;",data analyst,hireskys.com,2026-07-07 07:54:30.737 +0700,part_time,Technical Customer Support Specialist,"...connections, and the advanced ElevenAgents orchestration platform. Shifting completely away from routine non-regulated administrative data transcription loops, retail clerk checkouts, or generic call center response scripts, you will run an active multi-tenant API log...",connections and the advanced elevenagents orchestration platform shifting completely away from routine non regulated administrative data transcription loops retail clerk checkouts or generic call center response scripts you will run an active multi tenant api log,'activ':33 'administr':16 'advanc':4 'api':37 'away':10 'call':25 'center':26 'checkout':22 'clerk':21 'complet':9 'connect':1 'data':17 'elevenag':5 'generic':24 'log':38 'loop':19 'multi':35 'multi-ten':34 'non':14 'non-regul':13 'orchestr':6 'platform':7 'regul':15 'respons':27 'retail':20 'routin':12 'run':31 'script':28 'shift':8 'tenant':36 'transcript':18,"{activ,administr,advanc,api,away,call,center,checkout,clerk,complet,connect,data,elevenag,generic,log,loop,multi,multi-ten,non,non-regul,orchestr,platform,regul,respons,retail,routin,run,script,shift,tenant,transcript}"
"Senior Specialist, Technical Product Enablement and Sales",Mastercard,"",Australia," Our Purpose  Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions...",data analyst,decentrajobs.com,2026-07-07 03:05:09.240 +0700,full_time,Senior Specialist,"Our Purpose Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions...",our purpose mastercard powers economies and empowers people in countries and territories worldwide together with our customers we re helping build a sustainable economy where everyone can prosper we support a wide range of digital payments choices making transactions,'200':10 'a sustainable economi':22 'build':21 'choic':35 'countri':11 'custom':18 'digit':33 'economi':5 'empow':7 'everyon':24 'help':20 'make':36 'mastercard':3 'payment':34 'peopl':8 'power':4 'prosper':26 'purpos':2 'rang':31 'support':28 'territori':13 'togeth':15 'transact':37 'we’r':19 'wide':30 'worldwid':14,"{200,a sustainable economi,build,choic,countri,custom,digit,economi,empow,everyon,help,make,mastercard,payment,peopl,power,prosper,purpos,rang,support,territori,togeth,transact,we’r,wide,worldwid}"
Staff Data Scientist,Tilt,"",Australia,"&nbsp;...The Opportunity: Staff <b>Data </b>Scientist  We’re hiring for a  Staff Data Scientist  to help expand Tilt’s credit modeling and risk analytics capability for our Philippines-based business, Cashalo. 
 This is a high impact role with a direct mandate to  build and refine underwriting...&nbsp;",data analyst,hireskys.com,2026-07-17 03:33:25.740 +0700,full_time,Staff Data Scientist,"...The Opportunity: Staff Data Scientist We’re hiring for a Staff Data Scientist to help expand Tilt’s credit modeling and risk analytics capability for our Philippines-based business, Cashalo. This is a high impact role with a direct mandate to build and refine underwriting...",the opportunity staff data scientist we re hiring for a staff data scientist to help expand tilt s credit modeling and risk analytics capability for our philippines based business cashalo this is a high impact role with a direct mandate to build and refine underwriting,"'analyt':21 'base':27 'build':41 'busi':28 'capabl':22 'cashalo':29 'credit':17 'data':4,11 'direct':38 'expand':15 'help':14 'high':33 'hire':7 'impact':34 'mandat':39 'model':18 'opportun':2 'philippin':26 'philippines-bas':25 'refin':43 'risk':20 'role':35 'scientist':5,12 'staff':3,10 'tilt’':16 'underwrit':44 'we’r':6","{analyt,base,build,busi,capabl,cashalo,credit,data,direct,expand,help,high,hire,impact,mandat,model,opportun,philippin,philippines-bas,refin,risk,role,scientist,staff,tilt’,underwrit,we’r}"
Senior Engineer Service Management,Unisys,"",Australia," What success looks like in this role: 
 This role oversees, facilitates and administers ITIL based service support and requires a strong understanding of Service Management practices, with a particular emphasis on Service Request Management and Service Level Management...",data analyst,swooped.co,2025-09-11 00:00:00.000 +0700,not_specified,Senior Engineer Service Management,"What success looks like in this role: This role oversees, facilitates and administers ITIL based service support and requires a strong understanding of Service Management practices, with a particular emphasis on Service Request Management and Service Level Management...",what success looks like in this role this role oversees facilitates and administers itil based service support and requires a strong understanding of service management practices with a particular emphasis on service request management and service level management,"'administ':13 'base':15 'emphasi':30 'facilit':11 'itil':14 'level':37 'like':4 'look':3 'manag':25,34,38 'overse':10 'particular':29 'practic':26 'request':33 'requir':19 'role':7,9 'servic':16,24,32,36 'strong':21 'success':2 'support':17 'understand':22","{administ,base,emphasi,facilit,itil,level,like,look,manag,overse,particular,practic,request,requir,role,servic,strong,success,support,understand}"
