job_title,company,search_term,role_family,relevance_status
Associate Director - Industry Advisory 3,Genpact Australia Pty,bi analyst,Other,irrelevant
Associate Director - Industry Advisory 3,Genpact Australia Pty,bi analyst,Other,irrelevant
Data Engineer,Southern Cross Care NSW & ACT,bi analyst,Other,irrelevant
"Data Engineer Analyst (Fabric, Power BI)",Avanade Inc.,bi analyst,Other,irrelevant
"Director, Data Analytics Consulting",Epam Systems,analytics consultant,Other,irrelevant
"Director, Head of AI Sales, Australia & New Zealand, AWS",Amazon Web Services ,bi analyst,Other,irrelevant
"Director, Head of AI Sales, Australia & New Zealand, AWS",Amazon,bi analyst,Other,irrelevant
"Director, Head of AI Sales, Australia & New Zealand, AWS",Amazon,bi analyst,Other,irrelevant
Senior Data Engineer,Munro Footwear Group,bi analyst,Other,irrelevant
Technology BD Director,Two Circles,insights analyst,Other,irrelevant
Analyst / Senior Analyst - Financial Modelling,ModaX Consulting,analytics consultant,Other,review
Associate Business Transformation Consultant-Data Analytics,IBM,analytics consultant,Other,review
"Associate Managing Consultant, Advisors & Consulting Services, Performance Analytics",Mastercard,analytics consultant,Other,review
"Associate Managing Consultant, Advisors & Consulting Services, Performance Analytics (12 Months)",Mastercard,analytics consultant,Other,review
BI Developer / Sales Operations Business Analyst,Pernod Ricard Australia,bi analyst,Business Analyst,review
BI Developer / Sales Operations Business Analyst,Pernod Ricard,bi analyst,Business Analyst,review
Business Intelligence Support Analyst,Lower Murray Water,bi analyst,Other,review
Consultant | Risk & Regulatory Data Analytics,Deloitte,analytics consultant,Other,review
Consultant – Data & Analytics,Synogize,analytics consultant,Other,review
Data Analyst / BI Developer,INGRITY,bi analyst,Data Analyst,review
Data Practice Lead,Confidential Careers,analytics consultant,Other,review
EL1 Principal Policy Officer,Select Aust Sydney,junior data analyst,Other,review
Expression of Interest - Data Analytics Professionals,ING Bank  Limited,insights analyst,Other,review
Expression of Interest - Data Analytics Professionals,ING,insights analyst,Other,review
Finance Systems & Report Analyst,Hwl Ebsworth,reporting analyst,Other,review
Graduate - Technology,APA Group,insights analyst,Other,review
Independent Consultant (AU*),NMG Consulting,analytics consultant,Other,review
Insights & Analytics Analyst,Coles,insights analyst,Other,review
Junior Data Governance Analyst,TheDriveGroup,junior data analyst,Other,review
Package Consultant - SAP BW Analytics,IBM,analytics consultant,Other,review
Platform Administrator,City of Gold Coast,bi analyst,Other,review
Principal Consultant - Data and Analytics | Brisbane,Datacom,analytics consultant,Other,review
Principal Consultant – Data & Analytics (Visa Sponsorship & Relocation),JobRadars - AU,analytics consultant,Other,review
Principal Consultant – Data & Analytics (Visa Sponsorship & Relocation),Altis,analytics consultant,Other,review
Principal Value Consultant,Guidewire,junior data analyst,Other,review
Reporting and Automation Analyst,Amplius Group,reporting analyst,Other,review
"Research Analyst - Small Caps, Research",CITIC,insights analyst,Other,review
"Research Analyst - Telco, Media & Technology, Research",CITIC,insights analyst,Other,review
"Senior Analyst – Data, Insights and Performance | $160K – $170K inclusive",ThompsonCook,insights analyst,Other,review
"Senior Analyst, Data & Insights",Mable,insights analyst,Other,review
"Senior Analyst, Data & Insights HYBRID — MAX TERM CONTRACT - FULL TIMESYDNEY / MELBOURNE / BRISBANE",Mable,insights analyst,Other,review
"Senior Analyst, Data & Insights HYBRID — MAX TERM CONTRACT - FULL TIMESYDNEY / MELBOURNE / BRISBANE",Mable,insights analyst,Other,review
"Senior Analyst, Data & Insights HYBRID — MAX TERM CONTRACT - FULL TIMESYDNEY / MELBOURNE / BRISBANE",Mable,insights analyst,Other,review
Senior Consultant - Assets and Analytics Services - Corporate Tax,EY,analytics consultant,Other,review
Senior Consultant - Data & Analytics,Ashurst,analytics consultant,Other,review
Senior Consultant - Data & Analytics,Ashurst,analytics consultant,Other,review
Senior Consultant - Data & Analytics,Ashurst,analytics consultant,Other,review
Senior Consultant - M&A Analytics,Deloitte,analytics consultant,Other,review
Senior Consultant - Risk Analytics - Risk Consulting,EY,analytics consultant,Other,review
Senior Data Scientist,HAYS,junior data analyst,Other,review
"Senior Delivery Consultant: Data Analytics, AWS Professional Services",Amazon,analytics consultant,Other,review
"Senior Finance Analyst: Planning, Forecasting & Insights",Santos,insights analyst,Other,review
"Senior Manager, Data Analytics Consulting",Epam Systems,analytics consultant,Other,review
TM1 Analyst - Melbourne,Reo Group,analytics consultant,Other,review
TM1 Analyst - Melbourne,REO Group,analytics consultant,Other,review
Work Health & Safety Officer - Single Digital Patient Record and eHealth,NSW Government,bi analyst,Other,review
